--------------------
"Run name","me14div_DCLab2014_run1_VisClusterAvgRelevance.txt"
--------------------
"Average P@20 = ",.7602
"Average CR@20 = ",.4107
"Average F1@20 = ",.5259
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
31,"doge_s_palace",.8,.8,.8,.8333,.85,.88,.12,.2,.36,.48,.56,.64,.2087,.32,.4966,.6091,.6752,.7411
32,"eiffel_tower",1.0,1.0,.95,.9667,.975,.98,.16,.28,.44,.44,.44,.52,.2759,.4375,.6014,.6047,.6064,.6795
33,"golden_gate_bridge",1.0,1.0,1.0,1.0,1.0,.98,.1739,.3913,.6087,.6087,.7391,.7826,.2963,.5625,.7568,.7568,.85,.8703
34,"grand_palais",1.0,.9,.9,.9,.9,.92,.1818,.2727,.4545,.5909,.5909,.5909,.3077,.4186,.604,.7134,.7134,.7196
35,"guggenheim_museum_bilbao",1.0,1.0,1.0,.9333,.95,.94,.16,.28,.48,.6,.64,.68,.2759,.4375,.6486,.7304,.7648,.7891
36,"hagia_sophia_istanbul",1.0,1.0,.95,.9,.9,.92,.2,.28,.4,.6,.64,.68,.3333,.4375,.563,.72,.7481,.782
37,"hoover_dam",1.0,.9,.95,.9,.9,.88,.2,.24,.44,.52,.6,.68,.3333,.3789,.6014,.6592,.72,.7672
38,"humayun_tomb",1.0,1.0,.9,.9333,.8,.8,.2,.36,.44,.56,.56,.6,.3333,.5294,.591,.7,.6588,.6857
39,"iguazu_falls",.8,.8,.75,.7667,.825,.82,.16,.32,.52,.6,.68,.68,.2667,.4571,.6142,.6732,.7455,.7435
40,"iolani_palace",.8,.7,.75,.8333,.85,.86,.16,.28,.48,.68,.72,.76,.2667,.4,.5854,.7489,.7796,.8069
41,"la_mezquita",1.0,.7,.8,.7667,.7,.74,.2083,.2083,.4167,.5,.5417,.625,.3448,.3211,.5479,.6053,.6107,.6777
42,"la_rambla_barcelona",.8,.8,.8,.8333,.85,.86,.16,.28,.48,.52,.56,.56,.2667,.4148,.6,.6404,.6752,.6783
43,"la_sainte_chapelle",1.0,1.0,.9,.9333,.95,.96,.2,.32,.44,.52,.64,.68,.3333,.4848,.591,.6679,.7648,.7961
44,"liberty_memorial",1.0,1.0,1.0,.9667,.725,.74,.2,.36,.48,.68,.68,.8,.3333,.5294,.6486,.7984,.7018,.7688
45,"lincoln_home",1.0,.8,.7,.8,.75,.62,.2222,.3889,.4444,.6111,.6111,.6111,.3636,.5234,.5437,.6929,.6735,.6155
46,"machu_picchu",.6,.7,.7,.7,.675,.7,.12,.24,.48,.6,.6,.6,.2,.3574,.5695,.6462,.6353,.6462
47,"marble_arch_london",.2,.1,.2,.2333,.25,.22,.0833,.0833,.3333,.5833,.5833,.5833,.1176,.0909,.25,.3333,.35,.3195
48,"milan_cathedral",1.0,.9,.95,.9667,.975,.98,.12,.28,.48,.52,.6,.64,.2143,.4271,.6378,.6762,.7429,.7743
49,"mole_antonelliana",1.0,1.0,.95,.9333,.875,.78,.16,.28,.44,.48,.6,.64,.2759,.4375,.6014,.634,.7119,.7031
50,"mont_saint_michel",1.0,1.0,.9,.8667,.875,.9,.16,.36,.6,.68,.76,.76,.2759,.5294,.72,.7621,.8135,.8241
51,"moulin_rouge",.0,.0,.0,.0333,.025,.04,.0,.0,.0,.125,.125,.25,.0,.0,.0,.0526,.0417,.069
52,"nelson_s_column",.8,.6,.6,.6667,.7,.74,.1667,.25,.3333,.4167,.4583,.5833,.2759,.3529,.4286,.5128,.554,.6524
53,"notre_dame_de_paris",.6,.8,.8,.8333,.875,.9,.08,.16,.32,.4,.44,.52,.1412,.2667,.4571,.5405,.5856,.6592
54,"obelisco",.0,.1,.05,.0333,.05,.06,.0,.0909,.0909,.0909,.1818,.2727,.0,.0952,.0645,.0488,.0784,.0984
55,"piccadilly_circus",1.0,.8,.85,.9,.875,.74,.1739,.2609,.4783,.4783,.5652,.5652,.2963,.3934,.6121,.6246,.6868,.6409
56,"place_de_la_concorde",1.0,.9,.9,.9,.775,.82,.2,.28,.48,.56,.64,.72,.3333,.4271,.6261,.6904,.7011,.7668
57,"place_de_la_republique",.2,.3,.25,.2,.15,.14,.125,.375,.5,.5,.5,.625,.1538,.3333,.3333,.2857,.2308,.2288
58,"place_des_vosges",1.0,.7,.8,.8667,.9,.8,.16,.24,.44,.48,.48,.56,.2759,.3574,.5677,.6178,.6261,.6588
59,"pont_du_gard",1.0,.8,.85,.9,.825,.72,.2,.28,.4,.52,.56,.6,.3333,.4148,.544,.6592,.6671,.6545
60,"pont_neuf",.8,.8,.85,.8667,.775,.7,.16,.28,.48,.56,.64,.72,.2667,.4148,.6135,.6804,.7011,.7099
61,"ponte_vecchio",.6,.5,.65,.7333,.725,.58,.125,.2083,.375,.5417,.5833,.5833,.2069,.2941,.4756,.6231,.6465,.5817
62,"puerta_de_alcala",.2,.5,.75,.8,.775,.7,.0526,.1053,.2105,.2632,.3158,.4737,.0833,.1739,.3288,.396,.4487,.565
63,"puerta_del_sol",.0,.1,.1,.1333,.15,.18,.0,.05,.1,.15,.25,.4,.0,.0667,.1,.1412,.1875,.2483
64,"red_fort",.8,.7,.75,.8333,.725,.78,.12,.24,.44,.56,.56,.72,.2087,.3574,.5546,.6699,.6319,.7488
65,"reims_cathedral",1.0,1.0,.95,.9667,.95,.8,.08,.24,.36,.48,.56,.56,.1481,.3871,.5221,.6415,.7046,.6588
66,"rialto_bridge",.4,.4,.3,.4667,.5,.4,.125,.25,.25,.5,.5625,.5625,.1905,.3077,.2727,.4828,.5294,.4675
67,"roman_forum_rome",.8,.7,.85,.8,.775,.82,.16,.24,.52,.6,.68,.8,.2667,.3574,.6453,.6857,.7244,.8099
68,"sacre_coeur",.6,.6,.75,.8333,.775,.74,.125,.2083,.4167,.4583,.5417,.625,.2069,.3093,.5357,.5914,.6377,.6777
69,"sagrada_familia",.8,.9,.95,.9333,.95,.96,.12,.2,.4,.56,.68,.68,.2087,.3273,.563,.7,.7926,.7961
70,"santa_maria_novella",.8,.8,.6,.6,.65,.64,.16,.32,.44,.44,.48,.56,.2667,.4571,.5077,.5077,.5522,.5973
71,"schonbrunn_palace",.8,.7,.65,.7667,.825,.86,.08,.16,.28,.36,.44,.52,.1455,.2605,.3914,.4899,.5739,.6481
72,"seville_cathedral",1.0,1.0,1.0,.9333,.9,.92,.16,.32,.4,.56,.68,.76,.2759,.4848,.5714,.7,.7747,.8324
73,"spanish_steps",.6,.7,.5,.6,.575,.56,.1364,.3182,.4091,.5,.6364,.6818,.2222,.4375,.45,.5455,.6041,.6149
74,"st__basil_cathedral",1.0,.7,.75,.8333,.875,.9,.16,.24,.4,.56,.6,.6,.2759,.3574,.5217,.6699,.7119,.72
75,"statue_of_liberty",.8,.9,.9,.9,.7,.76,.12,.28,.4,.4,.4,.52,.2087,.4271,.5538,.5538,.5091,.6175
76,"stonehenge",.8,.8,.7,.6,.625,.64,.1579,.3684,.4737,.5263,.5263,.5789,.2637,.5045,.565,.5607,.5714,.6079
77,"summer_palace_beijing",.6,.8,.8,.8,.85,.86,.12,.32,.44,.56,.6,.72,.2,.4571,.5677,.6588,.7034,.7838
78,"sydney_opera_house",1.0,.9,.9,.8667,.875,.72,.12,.24,.44,.56,.6,.6,.2143,.3789,.591,.6804,.7119,.6545
79,"teotihuacan",1.0,.8,.85,.8333,.875,.86,.12,.24,.4,.52,.56,.64,.2143,.3692,.544,.6404,.6829,.7339
80,"terracotta_army",.4,.4,.55,.6,.525,.42,.1,.2,.4,.5,.55,.55,.16,.2667,.4632,.5455,.5372,.4763
81,"the_blue_mosque",.6,.8,.75,.8333,.85,.78,.12,.24,.4,.6,.68,.68,.2,.3692,.5217,.6977,.7556,.7266
82,"the_henry_ford",1.0,.8,.8,.8,.85,.8,.16,.28,.36,.44,.52,.56,.2759,.4148,.4966,.5677,.6453,.6588
83,"taj_mahal",1.0,.7,.65,.7667,.8,.84,.16,.24,.28,.48,.56,.68,.2759,.3574,.3914,.5904,.6588,.7516
84,"tour_montparnasse",.8,.6,.7,.7,.6,.52,.2,.3,.4,.45,.45,.5,.32,.4,.5091,.5478,.5143,.5098
85,"tower_bridge_london",.4,.5,.4,.4667,.6,.66,.08,.2,.32,.44,.48,.56,.1333,.2857,.3556,.4529,.5333,.6059
86,"trafalgar_square",1.0,.9,.75,.7667,.65,.58,.1364,.2727,.3182,.4091,.4545,.5455,.24,.4186,.4468,.5335,.535,.5622
87,"leaning_tower_of_pisa",.8,.8,.75,.7,.675,.74,.12,.2,.4,.48,.48,.56,.2087,.32,.5217,.5695,.561,.6375
88,"hermitage_museum_saint_petersburg",1.0,1.0,.95,.9667,.975,.98,.12,.28,.44,.52,.52,.6,.2143,.4375,.6014,.6762,.6783,.7443
