--------------------
"Run name","me14div_DCLab2014_run2_TextClusterAvgRelevance.txt"
--------------------
"Average P@20 = ",.7809
"Average CR@20 = ",.4065
"Average F1@20 = ",.527
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
31,"doge_s_palace",.8,.9,.9,.8667,.825,.86,.16,.36,.48,.52,.6,.68,.2667,.5143,.6261,.65,.6947,.7595
32,"eiffel_tower",1.0,1.0,1.0,1.0,.975,.94,.12,.24,.32,.36,.4,.52,.2143,.3871,.4848,.5294,.5673,.6696
33,"golden_gate_bridge",1.0,.9,.9,.9333,.95,.96,.1304,.2174,.3913,.4348,.4348,.4783,.2308,.3502,.5455,.5932,.5965,.6385
34,"grand_palais",1.0,.9,.9,.9,.9,.92,.1818,.3636,.5909,.6364,.6364,.6818,.3077,.518,.7134,.7456,.7456,.7832
35,"guggenheim_museum_bilbao",.6,.7,.85,.9,.925,.94,.12,.28,.36,.52,.52,.6,.2,.4,.5058,.6592,.6657,.7325
36,"hagia_sophia_istanbul",.8,.9,.95,.9333,.9,.92,.16,.32,.44,.56,.68,.72,.2667,.4721,.6014,.7,.7747,.8078
37,"hoover_dam",1.0,.9,.95,.9,.875,.86,.2,.36,.56,.6,.68,.68,.3333,.5143,.7046,.72,.7653,.7595
38,"humayun_tomb",1.0,1.0,1.0,1.0,1.0,.98,.2,.36,.56,.64,.68,.72,.3333,.5294,.7179,.7805,.8095,.8301
39,"iguazu_falls",1.0,.8,.7,.7333,.8,.84,.2,.28,.44,.56,.64,.68,.3333,.4148,.5404,.6351,.7111,.7516
40,"iolani_palace",.8,.9,.9,.9,.925,.92,.16,.28,.52,.68,.72,.76,.2667,.4271,.6592,.7747,.8097,.8324
41,"la_mezquita",.6,.6,.7,.7667,.75,.74,.0833,.1667,.3333,.4583,.5417,.7083,.1463,.2609,.4516,.5737,.629,.7238
42,"la_rambla_barcelona",.8,.9,.95,.9,.925,.94,.16,.24,.44,.48,.56,.56,.2667,.3789,.6014,.6261,.6976,.7019
43,"la_sainte_chapelle",1.0,1.0,1.0,1.0,1.0,1.0,.2,.32,.48,.56,.72,.76,.3333,.4848,.6486,.7179,.8372,.8636
44,"liberty_memorial",1.0,1.0,1.0,1.0,.975,.98,.2,.36,.56,.72,.76,.8,.3333,.5294,.7179,.8372,.8542,.8809
45,"lincoln_home",1.0,.8,.8,.8667,.9,.92,.1667,.2778,.3889,.6111,.6667,.7778,.2857,.4124,.5234,.7168,.766,.8429
46,"machu_picchu",.8,.9,.75,.7333,.775,.8,.16,.28,.4,.52,.56,.6,.2667,.4271,.5217,.6085,.6502,.6857
47,"marble_arch_london",.0,.1,.2,.3,.3,.26,.0,.0833,.3333,.5833,.6667,.75,.0,.0909,.25,.3962,.4138,.3861
48,"milan_cathedral",1.0,.9,.95,.9667,.975,.98,.2,.24,.4,.48,.48,.6,.3333,.3789,.563,.6415,.6433,.7443
49,"mole_antonelliana",1.0,1.0,.95,.9667,.9,.88,.16,.32,.36,.48,.56,.6,.2759,.4848,.5221,.6415,.6904,.7135
50,"mont_saint_michel",1.0,1.0,.95,.9333,.85,.88,.2,.32,.44,.6,.64,.64,.3333,.4848,.6014,.7304,.7302,.7411
51,"moulin_rouge",.0,.2,.1,.0667,.05,.08,.0,.25,.25,.25,.25,.5,.0,.2222,.1429,.1053,.0833,.1379
52,"nelson_s_column",.8,.9,.75,.7667,.825,.86,.1667,.25,.3333,.4167,.5,.5,.2759,.3913,.4615,.5399,.6226,.6324
53,"notre_dame_de_paris",.4,.6,.75,.8,.85,.88,.08,.24,.28,.36,.48,.6,.1333,.3429,.4078,.4966,.6135,.7135
