--------------------
"Run name","me14div_DCLab2014_run3_VisTextClusterAvgRelevance.txt"
--------------------
"Average P@20 = ",.7756
"Average CR@20 = ",.4127
"Average F1@20 = ",.5305
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
31,"doge_s_palace",.8,.8,.8,.7,.725,.78,.12,.24,.36,.4,.52,.68,.2087,.3692,.4966,.5091,.6056,.7266
32,"eiffel_tower",1.0,1.0,1.0,.8667,.875,.9,.12,.16,.28,.44,.56,.6,.2143,.2759,.4375,.5837,.6829,.72
33,"golden_gate_bridge",1.0,1.0,1.0,1.0,1.0,.98,.1739,.3043,.4783,.5652,.6957,.7826,.2963,.4667,.6471,.7222,.8205,.8703
34,"grand_palais",1.0,.9,.95,.9333,.875,.88,.1364,.3182,.5909,.5909,.6364,.7727,.24,.4701,.7286,.7237,.7368,.8229
35,"guggenheim_museum_bilbao",.8,.9,.9,.9333,.925,.92,.16,.24,.36,.44,.6,.72,.2667,.3789,.5143,.5981,.7279,.8078
36,"hagia_sophia_istanbul",1.0,.9,.95,.9333,.95,.96,.2,.32,.44,.6,.68,.72,.3333,.4721,.6014,.7304,.7926,.8229
37,"hoover_dam",1.0,1.0,.8,.8,.775,.8,.2,.32,.4,.48,.52,.6,.3333,.4848,.5333,.6,.6224,.6857
38,"humayun_tomb",1.0,1.0,1.0,.9667,.925,.8,.2,.4,.48,.52,.64,.72,.3333,.5714,.6486,.6762,.7565,.7579
39,"iguazu_falls",.8,.8,.75,.7333,.75,.72,.16,.24,.4,.48,.52,.64,.2667,.3692,.5217,.5802,.6142,.6776
40,"iolani_palace",.8,.9,.95,.8667,.9,.86,.16,.36,.52,.56,.68,.76,.2667,.5143,.6721,.6804,.7747,.8069
41,"la_mezquita",1.0,.8,.4,.2667,.425,.34,.1667,.2917,.2917,.2917,.4583,.4583,.2857,.4275,.3373,.2786,.441,.3904
42,"la_rambla_barcelona",.8,.9,.85,.8667,.775,.74,.16,.24,.36,.48,.52,.6,.2667,.3789,.5058,.6178,.6224,.6627
43,"la_sainte_chapelle",1.0,1.0,1.0,1.0,1.0,.94,.2,.28,.4,.48,.56,.64,.3333,.4375,.5714,.6486,.7179,.7615
44,"liberty_memorial",1.0,1.0,1.0,.7667,.8,.76,.2,.4,.64,.64,.8,.84,.3333,.5714,.7805,.6976,.8,.798
45,"lincoln_home",1.0,1.0,1.0,.7,.6,.52,.1111,.2778,.6111,.6111,.6667,.7222,.2,.4348,.7586,.6525,.6316,.6047
46,"machu_picchu",.6,.8,.75,.7333,.725,.76,.12,.32,.4,.4,.44,.6,.2,.4571,.5217,.5176,.5476,.6706
47,"marble_arch_london",.2,.4,.3,.2333,.175,.16,.0833,.3333,.5,.5,.5,.5833,.1176,.3636,.375,.3182,.2593,.2511
48,"milan_cathedral",1.0,1.0,1.0,1.0,.975,.9,.12,.28,.48,.52,.6,.64,.2143,.4375,.6486,.6842,.7429,.7481
49,"mole_antonelliana",1.0,1.0,1.0,.9,.875,.8,.16,.28,.48,.52,.64,.72,.2759,.4375,.6486,.6592,.7393,.7579
50,"mont_saint_michel",1.0,1.0,.95,.9667,.925,.92,.16,.32,.52,.68,.8,.84,.2759,.4848,.6721,.7984,.858,.8782
51,"moulin_rouge",.0,.1,.1,.2333,.225,.18,.0,.125,.25,.625,.75,.75,.0,.1111,.1429,.3398,.3462,.2903
52,"nelson_s_column",.8,.6,.6,.6,.6,.64,.1667,.2083,.3333,.375,.4583,.5833,.2759,.3093,.4286,.4615,.5197,.6104
53,"notre_dame_de_paris",.4,.6,.8,.7333,.8,.84,.04,.12,.24,.36,.64,.72,.0727,.2,.3692,.4829,.7111,.7754
54,"obelisco",.0,.0,.0,.0333,.05,.04,.0,.0,.0,.0909,.1818,.1818,.0,.0,.0,.0488,.0784,.0656
55,"piccadilly_circus",1.0,.7,.5,.4667,.4,.4,.1739,.2609,.3913,.4348,.4783,.6087,.2963,.3801,.439,.4502,.4356,.4828
56,"place_de_la_concorde",1.0,1.0,1.0,1.0,.95,.88,.16,.28,.48,.64,.72,.8,.2759,.4375,.6486,.7805,.8192,.8381
57,"place_de_la_republique",.2,.2,.2,.1333,.125,.1,.125,.25,.375,.375,.5,.5,.1538,.2222,.2609,.1967,.2,.1667
58,"place_des_vosges",1.0,.9,.7,.5333,.55,.58,.2,.32,.44,.52,.56,.6,.3333,.4721,.5404,.5266,.555,.5898
59,"pont_du_gard",.8,.9,.6,.6667,.625,.58,.16,.32,.36,.48,.56,.64,.2667,.4721,.45,.5581,.5907,.6085
60,"pont_neuf",.8,.9,.9,.8667,.7,.72,.16,.28,.36,.52,.56,.72,.2667,.4271,.5143,.65,.6222,.72
61,"ponte_vecchio",.8,.7,.8,.7333,.575,.56,.1667,.2917,.5,.5417,.5833,.625,.2759,.4118,.6154,.6231,.5791,.5907
62,"puerta_de_alcala",.8,.8,.55,.5667,.475,.44,.1053,.2632,.2632,.4737,.4737,.4737,.186,.396,.356,.516,.4743,.4562
