--------------------
"Run name","me14div_DCLab2014_run4_VisTextClusterCredRelevance.txt"
--------------------
"Average P@20 = ",.7415
"Average CR@20 = ",.3651
"Average F1@20 = ",.4819
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
31,"doge_s_palace",1.0,1.0,1.0,1.0,.975,.98,.16,.2,.44,.52,.56,.64,.2759,.3333,.6111,.6842,.7114,.7743
32,"eiffel_tower",1.0,1.0,.95,.9667,.975,.96,.16,.24,.4,.44,.48,.52,.2759,.3871,.563,.6047,.6433,.6746
33,"golden_gate_bridge",1.0,1.0,1.0,.9667,.975,.94,.1304,.2609,.3913,.4348,.5652,.6957,.2308,.4138,.5625,.5998,.7156,.7996
34,"grand_palais",1.0,1.0,.95,.9333,.95,.88,.1364,.2273,.3182,.5455,.6364,.7273,.24,.3704,.4767,.6885,.7622,.7964
35,"guggenheim_museum_bilbao",1.0,.8,.9,.9,.925,.94,.16,.2,.36,.48,.64,.68,.2759,.32,.5143,.6261,.7565,.7891
36,"hagia_sophia_istanbul",1.0,.8,.8,.8667,.9,.92,.12,.24,.32,.48,.68,.72,.2143,.3692,.4571,.6178,.7747,.8078
37,"hoover_dam",1.0,1.0,1.0,1.0,.975,.98,.12,.28,.48,.6,.72,.84,.2143,.4375,.6486,.75,.8283,.9046
38,"humayun_tomb",.4,.4,.6,.7333,.775,.74,.08,.16,.36,.52,.68,.72,.1333,.2286,.45,.6085,.7244,.7299
39,"iguazu_falls",.6,.7,.85,.8667,.9,.92,.12,.24,.44,.52,.64,.68,.2,.3574,.5798,.65,.7481,.782
40,"iolani_palace",1.0,.8,.85,.7667,.825,.84,.2,.28,.44,.56,.68,.84,.3333,.4148,.5798,.6472,.7455,.84
41,"la_mezquita",.2,.3,.15,.1333,.275,.32,.0417,.0833,.0833,.0833,.2083,.375,.069,.1304,.1071,.1026,.2371,.3453
42,"la_rambla_barcelona",1.0,1.0,.75,.8333,.825,.78,.2,.28,.4,.52,.6,.68,.3333,.4375,.5217,.6404,.6947,.7266
43,"la_sainte_chapelle",1.0,1.0,1.0,1.0,1.0,1.0,.2,.36,.52,.72,.76,.84,.3333,.5294,.6842,.8372,.8636,.913
