--------------------
"Run name","me14div_DCLab2014_run5_VisTextClusterMixedRelevance.txt"
--------------------
"Average P@20 = ",.7431
"Average CR@20 = ",.3682
"Average F1@20 = ",.4866
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
31,"doge_s_palace",1.0,.8,.9,.9333,.95,.92,.16,.28,.4,.48,.64,.76,.2759,.4148,.5538,.634,.7648,.8324
32,"eiffel_tower",1.0,1.0,.95,.9333,.925,.9,.04,.12,.28,.52,.6,.64,.0769,.2143,.4325,.6679,.7279,.7481
33,"golden_gate_bridge",1.0,1.0,1.0,1.0,1.0,.96,.1304,.2174,.3913,.5652,.6957,.7391,.2308,.3571,.5625,.7222,.8205,.8352
34,"grand_palais",1.0,1.0,.95,.9667,.975,.92,.1364,.3182,.5455,.5909,.6364,.6818,.24,.4828,.693,.7335,.7701,.7832
35,"guggenheim_museum_bilbao",1.0,1.0,.9,.9,.925,.94,.16,.36,.44,.56,.56,.6,.2759,.5294,.591,.6904,.6976,.7325
36,"hagia_sophia_istanbul",1.0,1.0,1.0,.9667,.975,.96,.12,.24,.48,.64,.76,.8,.2143,.3871,.6486,.7701,.8542,.8727
37,"hoover_dam",.6,.8,.9,.9,.875,.88,.08,.16,.4,.56,.64,.68,.1412,.2667,.5538,.6904,.7393,.7672
38,"humayun_tomb",1.0,.9,.7,.8,.825,.78,.2,.24,.36,.56,.72,.76,.3333,.3789,.4755,.6588,.7689,.7699
39,"iguazu_falls",1.0,.9,.9,.9333,.95,.88,.2,.36,.52,.56,.6,.68,.3333,.5143,.6592,.7,.7355,.7672
40,"iolani_palace",1.0,1.0,.95,.9,.9,.88,.2,.36,.52,.6,.72,.76,.3333,.5294,.6721,.72,.8,.8156
41,"la_mezquita",.0,.1,.1,.1,.175,.26,.0,.0417,.0833,.125,.25,.375,.0,.0588,.0909,.1111,.2059,.3071
42,"la_rambla_barcelona",1.0,.9,.95,.9333,.95,.92,.16,.32,.4,.56,.72,.72,.2759,.4721,.563,.7,.8192,.8078
43,"la_sainte_chapelle",1.0,1.0,1.0,1.0,1.0,1.0,.2,.28,.48,.6,.72,.76,.3333,.4375,.6486,.75,.8372,.8636
44,"liberty_memorial",1.0,1.0,.8,.8667,.85,.82,.12,.28,.32,.44,.56,.64,.2143,.4375,.4571,.5837,.6752,.7189
45,"lincoln_home",1.0,1.0,.8,.5667,.425,.42,.1667,.2778,.4444,.4444,.4444,.4444,.2857,.4348,.5714,.4982,.4345,.4319
46,"machu_picchu",1.0,1.0,.95,.9,.875,.84,.12,.28,.4,.48,.52,.56,.2143,.4375,.563,.6261,.6523,.672
47,"marble_arch_london",.0,.0,.1,.1333,.1,.12,.0,.0,.1667,.25,.25,.3333,.0,.0,.125,.1739,.1429,.1765
48,"milan_cathedral",.8,.9,.95,.9667,.975,.96,.16,.36,.52,.6,.72,.76,.2667,.5143,.6721,.7404,.8283,.8484
49,"mole_antonelliana",.6,.4,.45,.5333,.575,.6,.12,.16,.24,.4,.44,.52,.2,.2286,.313,.4571,.4985,.5571
