name;anchor_1;anchor_22;anchor_24;anchor_25;anchor_27;anchor_38;anchor_39;anchor_9;all
Manual subtitles;0.2000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4000;0.0750
LIMSI transcripts;0.0000;0;0.0000;0;0;0;0;0;0.0444
LIUM transcripts;0.0000;0;0.0000;0;0.0000;0;0.4000;0;0.0533
NST/Sheffield;0;0;0.0000;0;0;0.2000;0.0000;0;0.0400
All transcript and subtitle;0.0000;0.0000;0.0000;0.4000;0.0000;0.0000;0.0000;0.0000;0.0370
Manual subtitles (Concept2);0.2000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.6000;0.1818
LIMSI transcripts (Concept2);0.0000;0;0.0000;0;0;0;0;0.0000;0.0500
LIUM transcripts (Concept2);0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0526
NST/Sheffield (Concept2);0;0.0000;0.0000;0;0.0000;0.2000;0.2000;0;0.0300
All transcript and subtitle (Concept2);0.0000;0.0000;0.0000;0.4000;0.0000;0.0000;0.0000;0.0000;0.0143
